-0.4244241  0.3952434 -0.4830579  0.4518577  0.2937225 -0.1609868 -0.4765516 -0.1741772 -0.1512365 -0.0805945 
-0.4239902  0.3936468 -0.4811120  0.4528852  0.2923202 -0.1611619 -0.4757015 -0.1721739 -0.1501298 -0.0800255 
-0.4233767  0.3959047 -0.4801596  0.4518214  0.2926601 -0.1622229 -0.4754573 -0.1710990 -0.1514132 -0.0797892 
-0.4234090  0.3978865 -0.4794151  0.4529838  0.2932009 -0.1624607 -0.4741476 -0.1700226 -0.1492697 -0.0810842 
-0.4225861  0.4004915 -0.4788348  0.4556433  0.2932361 -0.1625281 -0.4744672 -0.1675478 -0.1464704 -0.0830996 
-0.4205781  0.4028958 -0.4807008  0.4520721  0.2922235 -0.1588151 -0.4756114 -0.1637794 -0.1469266 -0.0834597 
-0.4204955  0.4035711 -0.4814644  0.4526452  0.2920682 -0.1581229 -0.4751077 -0.1640261 -0.1466686 -0.0831764 
-0.4203486  0.4034855 -0.4815338  0.4523791  0.2922388 -0.1584418 -0.4751100 -0.1640188 -0.1463792 -0.0832384 
-0.4183453  0.4041345 -0.4810320  0.4538808  0.2909154 -0.1593851 -0.4766915 -0.1645983 -0.1469880 -0.0832970 
-0.4168191  0.4056816 -0.4780504  0.4536580  0.2900235 -0.1619147 -0.4740520 -0.1625030 -0.1472830 -0.0858495 
-0.4163309  0.4060270 -0.4786595  0.4535479  0.2905998 -0.1624859 -0.4744948 -0.1628846 -0.1477892 -0.0857291 
-0.4146582  0.4055086 -0.4790105  0.4527138  0.2895850 -0.1643076 -0.4752387 -0.1620015 -0.1491429 -0.0851952 
-0.4128696  0.4064884 -0.4800732  0.4515294  0.2891832 -0.1654537 -0.4749476 -0.1630958 -0.1474886 -0.0863089 
-0.4130128  0.4062510 -0.4805324  0.4511639  0.2886338 -0.1651254 -0.4746315 -0.1626344 -0.1480919 -0.0863711 
-0.4128016  0.4053863 -0.4804215  0.4511787  0.2879186 -0.1643755 -0.4748019 -0.1614665 -0.1493021 -0.0875005 
-0.4109952  0.4031582 -0.4804676  0.4518467  0.2891695 -0.1630798 -0.4760377 -0.1593925 -0.1478248 -0.0890203 
-0.4110680  0.4037766 -0.4804982  0.4514466  0.2888881 -0.1624240 -0.4763570 -0.1594660 -0.1483956 -0.0895378 
-0.4098632  0.4029871 -0.4809245  0.4513731  0.2870727 -0.1618073 -0.4783824 -0.1583762 -0.1473561 -0.0906750 
-0.4080938  0.4052548 -0.4817989  0.4537682  0.2878627 -0.1628215 -0.4799105 -0.1580496 -0.1498250 -0.0913697 
-0.4082823  0.4052336 -0.4814542  0.4533808  0.2874952 -0.1631500 -0.4802392 -0.1576646 -0.1500011 -0.0914859 
-0.4087097  0.4058511 -0.4818821  0.4537349  0.2869533 -0.1628184 -0.4799251 -0.1572670 -0.1496326 -0.0919574 
-0.4071701  0.4074435 -0.4804660  0.4541837  0.2850676 -0.1641593 -0.4812241 -0.1578588 -0.1498410 -0.0932509 
-0.4035167  0.4085830 -0.4800368  0.4579965  0.2852769 -0.1620232 -0.4765995 -0.1535121 -0.1464380 -0.0901001 
-0.4008189  0.4095420 -0.4783904  0.4605088  0.2816596 -0.1638695 -0.4782534 -0.1499302 -0.1475454 -0.0924877 
-0.3991353  0.4118125 -0.4810691  0.4620709  0.2807681 -0.1628003 -0.4752887 -0.1471494 -0.1508840 -0.0905360 
-0.3989053  0.4140271 -0.4798486  0.4624376  0.2823125 -0.1646848 -0.4752963 -0.1459930 -0.1520285 -0.0923643 
-0.3973686  0.4165367 -0.4813030  0.4638951  0.2820090 -0.1663282 -0.4771844 -0.1450899 -0.1522373 -0.0950020 
-0.3959092  0.4171170 -0.4823788  0.4651311  0.2814994 -0.1668541 -0.4790218 -0.1448477 -0.1526408 -0.0965044 
-0.3958842  0.4170601 -0.4823363  0.4650683  0.2815529 -0.1669040 -0.4790781 -0.1448399 -0.1526012 -0.0965236 
-0.3959443  0.4169359 -0.4822598  0.4655524  0.2811884 -0.1665432 -0.4788452 -0.1446316 -0.1527831 -0.0965851 
-0.3934509  0.4175186 -0.4806935  0.4651324  0.2829186 -0.1652418 -0.4808245 -0.1445418 -0.1553911 -0.0992643 
-0.3939390  0.4178451 -0.4814838  0.4652065  0.2823920 -0.1643583 -0.4810819 -0.1436066 -0.1557496 -0.1001863 
-0.3939375  0.4185213 -0.4822507  0.4662627  0.2828724 -0.1640398 -0.4818564 -0.1424787 -0.1558805 -0.0993732 
-0.3930343  0.4214763 -0.4821080  0.4654928  0.2834574 -0.1633315 -0.4789813 -0.1411934 -0.1564700 -0.1017097 
-0.3931439  0.4221734 -0.4822970  0.4655463  0.2826660 -0.1625654 -0.4783913 -0.1412945 -0.1561475 -0.1019795 
-0.3926840  0.4221669 -0.4820291  0.4634752  0.2821189 -0.1637648 -0.4764264 -0.1396793 -0.1540623 -0.1014906 
-0.3929085  0.4232991 -0.4817806  0.4639956  0.2821226 -0.1626422 -0.4774283 -0.1391561 -0.1548148 -0.1026478 
-0.3928400  0.4230792 -0.4819516  0.4640427  0.2824127 -0.1628359 -0.4775821 -0.1389801 -0.1545308 -0.1028562 
-0.3922058  0.4231883 -0.4827521  0.4638903  0.2833790 -0.1638514 -0.4766783 -0.1392245 -0.1540323 -0.1021791 
-0.3892063  0.4252865 -0.4827121  0.4602974  0.2869008 -0.1605667 -0.4754098 -0.1375034 -0.1541539 -0.1021053 
-0.3893866  0.4261597 -0.4825044  0.4598701  0.2868509 -0.1607689 -0.4744819 -0.1374040 -0.1534653 -0.1015000 
-0.3876255  0.4267017 -0.4803438  0.4588080  0.2894148 -0.1621237 -0.4718938 -0.1361268 -0.1556391 -0.0998952 
-0.3874640  0.4286326 -0.4775238  0.4615389  0.2896842 -0.1642823 -0.4697258 -0.1332340 -0.1539279 -0.1017930 
-0.3864970  0.4295425 -0.4770081  0.4608841  0.2905999 -0.1629108 -0.4686126 -0.1340715 -0.1539319 -0.1033449 
-0.3822948  0.4341887 -0.4755841  0.4587515  0.2914932 -0.1597457 -0.4666112 -0.1309230 -0.1563574 -0.0997274 
-0.3785539  0.4339717 -0.4743889  0.4561541  0.2943823 -0.1631319 -0.4634933 -0.1269365 -0.1536597 -0.1024209 
-0.3790220  0.4341037 -0.4746747  0.4562286  0.2946902 -0.1624398 -0.4626859 -0.1261054 -0.1543967 -0.1030682 
-0.3788366  0.4350639 -0.4734111  0.4548615  0.2958808 -0.1614087 -0.4630432 -0.1259493 -0.1538468 -0.1032251 
-0.3782029  0.4337611 -0.4748086  0.4542005  0.2956060 -0.1607489 -0.4619764 -0.1250738 -0.1541381 -0.1031884 
-0.3775704  0.4349420 -0.4747143  0.4533619  0.2936466 -0.1614972 -0.4640864 -0.1239262 -0.1541974 -0.1020333 
-0.3772678  0.4349301 -0.4748462  0.4533904  0.2937004 -0.1616214 -0.4642018 -0.1241776 -0.1543569 -0.1022467 
-0.3763160  0.4354697 -0.4741551  0.4537291  0.2941207 -0.1621390 -0.4636010 -0.1251582 -0.1538577 -0.1014384 
-0.3759188  0.4366118 -0.4741157  0.4549304  0.2932729 -0.1624361 -0.4637027 -0.1254190 -0.1540298 -0.1021337 
-0.3760983  0.4363597 -0.4744489  0.4544587  0.2937113 -0.1623381 -0.4640699 -0.1248057 -0.1539509 -0.1015469 
-0.3761279  0.4374440 -0.4724199  0.4556578  0.2914458 -0.1623684 -0.4646128 -0.1227896 -0.1533282 -0.1036877 
-0.3762966  0.4375201 -0.4722990  0.4557564  0.2916561 -0.1625992 -0.4644594 -0.1225877 -0.1531971 -0.1035945 
-0.3761556  0.4375937 -0.4725036  0.4556398  0.2914775 -0.1627380 -0.4644287 -0.1227458 -0.1531321 -0.1037877 
-0.3762444  0.4380904 -0.4728225  0.4547905  0.2910601 -0.1623651 -0.4637124 -0.1226161 -0.1524249 -0.1045913 
-0.3735851  0.4425885 -0.4716072  0.4558605  0.2919133 -0.1615267 -0.4664648 -0.1183051 -0.1548420 -0.1087117 
-0.3730776  0.4430647 -0.4714260  0.4552869  0.2923557 -0.1623047 -0.4662304 -0.1187476 -0.1542712 -0.1078424 
-0.3731690  0.4431923 -0.4713047  0.4551400  0.2919397 -0.1620631 -0.4665763 -0.1186138 -0.1546676 -0.1079867 
-0.3707728  0.4449404 -0.4701437  0.4548830  0.2936184 -0.1598140 -0.4633604 -0.1154550 -0.1563490 -0.1107481 
-0.3700818  0.4462236 -0.4721309  0.4548482  0.2940391 -0.1580636 -0.4642022 -0.1150296 -0.1553562 -0.1092450 
-0.3671405  0.4485790 -0.4713751  0.4534560  0.2960672 -0.1605601 -0.4638981 -0.1136807 -0.1561081 -0.1057260 
-0.3639215  0.4492938 -0.4675538  0.4519404  0.2980169 -0.1578836 -0.4617038 -0.1111658 -0.1590370 -0.1078551 
-0.3620524  0.4493631 -0.4657200  0.4500347  0.2997316 -0.1581541 -0.4636149 -0.1114711 -0.1606015 -0.1074779 
-0.3619260  0.4494759 -0.4659268  0.4496128  0.2991507 -0.1578711 -0.4629654 -0.1116228 -0.1600136 -0.1076815 
-0.3622186  0.4511795 -0.4655371  0.4484915  0.2988298 -0.1584688 -0.4625039 -0.1104668 -0.1618696 -0.1091612 
-0.3619669  0.4517115 -0.4651003  0.4477186  0.2979870 -0.1580195 -0.4617831 -0.1106210 -0.1617959 -0.1103415 
-0.3618471  0.4519475 -0.4649546  0.4479252  0.2978427 -0.1586975 -0.4614913 -0.1104296 -0.1626054 -0.1103579 
-0.3616767  0.4517209 -0.4655339  0.4487967  0.2985728 -0.1580861 -0.4606275 -0.1100472 -0.1625465 -0.1106282 
-0.3618164  0.4513694 -0.4654382  0.4484984  0.2983896 -0.1578146 -0.4606784 -0.1096341 -0.1627796 -0.1109562 
-0.3618613  0.4519250 -0.4642754  0.4483184  0.2977510 -0.1568882 -0.4617859 -0.1093259 -0.1637331 -0.1110075 
